# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.06%  server   libc-2.19.so         [.] 0x00000000000980cd                        
     0.06%  server   server               [.] 0x0000000000007c9f                        
     0.06%  server   [kernel.kallsyms]    [k] ip_setup_cork                             
     0.06%  server   [kernel.kallsyms]    [k] page_fault                                
     0.06%  server   [kernel.kallsyms]    [k] __sk_free                                 
     0.06%  server   [kernel.kallsyms]    [k] ttwu_do_wakeup                            
     0.06%  server   server               [.] 0x000000000000424f                        
     0.06%  server   libc-2.19.so         [.] 0x00000000000980bb                        
     0.06%  server   [kernel.kallsyms]    [k] tcp_current_mss                           
     0.06%  server   [kernel.kallsyms]    [k] __alloc_fd                                
     0.06%  server   [kernel.kallsyms]    [k] _raw_spin_trylock                         
     0.06%  server   server               [.] 0x0000000000003b08                        
     0.06%  server   [kernel.kallsyms]    [k] resched_curr                              
     0.06%  server   libc-2.19.so         [.] 0x00000000000980d9                        
     0.06%  server   [kernel.kallsyms]    [k] _raw_spin_lock_irq                        
     0.06%  server   [kernel.kallsyms]    [k] inet_ehashfn                              
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000c1140                        
     0.06%  server   [kernel.kallsyms]    [k] flush_tlb_func                            
     0.06%  server   libpthread-2.19.so   [.] 0x000000000000f9bd                        
     0.06%  server   libpthread-2.19.so   [.] 0x000000000000f9c1                        
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000bf4b1                        
     0.06%  server   [kernel.kallsyms]    [k] lock_sock_nested                          
     0.06%  server   [kernel.kallsyms]    [k] inet_unhash                               
     0.06%  server   libc-2.19.so         [.] 0x0000000000082777                        
     0.06%  server   libc-2.19.so         [.] 0x000000000008bc10                        
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000c0c30                        
     0.06%  server   [kernel.kallsyms]    [k] inet_release                              
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000c00e0                        
     0.06%  server   server               [.] 0x00000000000032a8                        
     0.06%  server   [kernel.kallsyms]    [k] tcp_stream_memory_free                    
     0.06%  server   [kernel.kallsyms]    [k] detach_if_pending                         
     0.06%  server   server               [.] 0x00000000000032be                        
     0.06%  server   [kernel.kallsyms]    [k] move_addr_to_kernel.part.15               
     0.05%  server   server               [.] 0x0000000000004276                        
     0.05%  server   server               [.] 0x0000000000003294                        
     0.05%  server   server               [.] 0x000000000000b60a                        
     0.05%  server   server               [.] 0x000000000000925c                        
     0.05%  server   libstdc++.so.6.0.21  [.] 0x0000000000061a00                        
     0.05%  server   libpthread-2.19.so   [.] 0x000000000000ee90                        
     0.05%  server   [kernel.kallsyms]    [k] fsnotify                                  
     0.05%  server   [kernel.kallsyms]    [k] tcp_event_new_data_sent                   
     0.05%  server   [kernel.kallsyms]    [k] bictcp_acked                              
     0.05%  server   [kernel.kallsyms]    [k] inet_sendmsg                              
     0.05%  server   [kernel.kallsyms]    [k] sock_alloc                                
     0.05%  server   libc-2.19.so         [.] 0x000000000010813f                        
     0.05%  server   [kernel.kallsyms]    [k] udp_rcv                                   
     0.05%  server   [kernel.kallsyms]    [k] netif_rx_internal                         
     0.05%  server   [kernel.kallsyms]    [k] security_sock_rcv_skb                     
     0.05%  server   [kernel.kallsyms]    [k] _copy_from_user                           
     0.05%  server   [kernel.kallsyms]    [k] __local_bh_enable                         
     0.05%  server   [kernel.kallsyms]    [k] __dentry_kill                             
     0.05%  server   [kernel.kallsyms]    [k] inet_csk_destroy_sock                     
     0.05%  server   [kernel.kallsyms]    [k] tcp_set_state                             
     0.05%  server   [kernel.kallsyms]    [k] do_softirq_own_stack                      
     0.05%  server   [kernel.kallsyms]    [k] ipv4_dst_check                            
     0.05%  server   [kernel.kallsyms]    [k] task_work_add                             
     0.05%  server   libstdc++.so.6.0.21  [.] 0x00000000000c02c0                        
     0.05%  server   [kernel.kallsyms]    [k] tcp_wfree                                 
     0.05%  server   libc-2.19.so         [.] 0x000000000007feca                        
     0.05%  server   [kernel.kallsyms]    [k] put_cpu_partial                           
     0.05%  server   [kernel.kallsyms]    [k] rb_next                                   
     0.05%  server   [kernel.kallsyms]    [k] inode_init_always                         
     0.05%  server   server               [.] 0x000000000000dc40                        
     0.05%  server   [kernel.kallsyms]    [k] migrate_task_rq_fair                      
     0.05%  server   [kernel.kallsyms]    [k] __skb_clone                               
     0.05%  server   libpthread-2.19.so   [.] 0x0000000000012497                        
     0.05%  server   [kernel.kallsyms]    [k] tcp_rcv_space_adjust                      
     0.05%  server   [kernel.kallsyms]    [k] skb_network_protocol                      
     0.05%  server   [kernel.kallsyms]    [k] locks_remove_posix                        
     0.05%  server   [kernel.kallsyms]    [k] __internal_add_timer                      
     0.05%  server   libc-2.19.so         [.] 0x0000000000082df7                        
     0.05%  server   libstdc++.so.6.0.21  [.] 0x00000000000c12c0                        
     0.05%  server   [kernel.kallsyms]    [k] __fdget                                   
     0.05%  server   libc-2.19.so         [.] 0x000000000007fefd                        
     0.05%  server   [kernel.kallsyms]    [k] sock_recvmsg                              
     0.05%  server   libpthread-2.19.so   [.] 0x000000000000ef2e                        
     0.05%  server   libc-2.19.so         [.] 0x00000000000980e3                        
     0.05%  server   [kernel.kallsyms]    [k] __fput                                    
     0.04%  server   [kernel.kallsyms]    [k] bictcp_cong_avoid                         
     0.04%  server   [kernel.kallsyms]    [k] enqueue_task                              
     0.04%  server   libstdc++.so.6.0.21  [.] 0x0000000000061e00                        
     0.04%  server   [kernel.kallsyms]    [k] __close_fd                                
     0.04%  server   [kernel.kallsyms]    [k] clear_page_c_e                            
     0.04%  server   [kernel.kallsyms]    [k] tcp_queue_rcv                             
     0.04%  server   server               [.] 0x0000000000002b30                        
     0.04%  server   [kernel.kallsyms]    [k] ip_generic_getfrag                        
     0.04%  server   [kernel.kallsyms]    [k] netdev_pick_tx                            
     0.04%  server   libpthread-2.19.so   [.] 0x000000000000ef2c                        
     0.04%  server   libc-2.19.so         [.] 0x000000000008330d                        
     0.04%  server   server               [.] 0x000000000000c4de                        
     0.04%  server   [kernel.kallsyms]    [k] xfrm_lookup                               
     0.04%  server   [kernel.kallsyms]    [k] iput                                      
